DEPT,TWT,amp,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase,AI_Jason_inv
1586.1,1158.5,2360.6,8896,2.58,-966.7,-121.8,-166.8,581.6,51.7,-2.9804,0.9551,
1586.2,1158.6,2363.8,8589,2.57,-957.9,-45.4,-186,569.2,51.8,-1.2541,0.9609,
1586.4,1158.7,2366.9,8321,2.55,-949,31,-205.3,556.7,51.9,0.4722,0.9667,
1586.5,1158.7,2370.1,8081,2.54,-940.2,107.3,-224.6,544.3,51.9,2.1985,0.9724,
1586.7,1158.8,2373.3,7828,2.52,-931.4,183.7,-243.9,531.9,52,3.9249,0.9782,
1586.8,1158.9,2376.5,7571,2.51,-922.6,260.1,-263.1,519.4,52.1,5.6512,0.984,
1587,1159,2364.6,7329,2.5,-911.1,331.2,-280.7,523.6,52.1,7.4056,0.9835,
1587.1,1159.1,2325.8,7147,2.5,-894,391.4,-294.8,562.3,52.2,9.2183,0.9698,
1587.3,1159.2,2285.9,7024,2.5,-876.9,451.6,-308.9,601.1,52.2,11.0306,0.9561,
1587.4,1159.3,2246,6895,2.5,-859.8,511.8,-323,639.8,52.2,12.8422,0.9425,
1587.6,1159.4,2206.1,6747,2.5,-842.7,571.9,-337,678.6,52.3,14.6537,0.9288,
1587.8,1159.5,2166.2,6613,2.5,-825.5,632.1,-351.1,717.3,52.3,16.4652,0.9152,
1587.9,1159.6,2126.3,6535,2.5,-808.4,692.2,-365.2,756,52.4,18.2766,0.9015,
1588.1,1159.7,2086.3,6497,2.5,-791.3,752.3,-379.2,794.7,52.4,20.088,0.8879,
1588.2,1159.8,2046.4,6500,2.5,-774.2,812.5,-393.3,833.5,52.4,21.8994,0.8742,
1588.4,1159.9,2006.5,6514,2.5,-757.1,872.6,-407.4,872.2,52.5,23.7108,0.8606,
1588.5,1160,1966.6,6532,2.5,-740,932.8,-421.4,910.9,52.5,25.5221,0.8469,
1588.7,1160.1,1926.8,6522,2.5,-722.9,992.9,-435.5,949.7,52.6,27.3341,0.8333,
1588.8,1160.2,1886.9,6516,2.5,-705.8,1053.1,-449.6,988.5,52.6,29.1466,0.8196,
