DEPT,TWT,seismicamplitude,AI_Jason_inv,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase
1585.924,1158.373,2357.412,,,2.5967,-975.5,-198.1,-147.5,594.1,51.7,-4.7066,0.9493
1586.076,1158.467,2360.589,,8896.5,2.5823,-966.7,-121.8,-166.8,581.6,51.7,-2.9804,0.9551
1586.228,1158.561,2363.765,,8589.2,2.5679,-957.9,-45.4,-186.0,569.2,51.8,-1.2541,0.9609
1586.381,1158.655,2366.940,,8321.0,2.5536,-949.0,31.0,-205.3,556.7,51.9,0.4722,0.9667
1586.533,1158.749,2370.115,,8080.6,2.5392,-940.2,107.3,-224.6,544.3,51.9,2.1985,0.9724
1586.686,1158.843,2373.289,,7828.1,2.5249,-931.4,183.7,-243.9,531.9,52.0,3.9249,0.9782
1586.838,1158.937,2376.463,,7571.3,2.5105,-922.6,260.1,-263.1,519.4,52.1,5.6512,0.9840
1586.990,1159.030,2364.581,,7329.3,2.5009,-911.1,331.2,-280.7,523.6,52.1,7.4056,0.9835
1587.143,1159.124,2325.814,,7146.8,2.5012,-894.0,391.4,-294.8,562.3,52.2,9.2183,0.9698
1587.295,1159.218,2285.922,,7024.0,2.5014,-876.9,451.6,-308.9,601.1,52.2,11.0306,0.9561
1587.448,1159.312,2246.006,,6894.6,2.5016,-859.8,511.8,-323.0,639.8,52.2,12.8422,0.9425
1587.600,1159.406,2206.087,,6746.7,2.5018,-842.7,571.9,-337.0,678.6,52.3,14.6537,0.9288
1587.752,1159.500,2166.171,,6613.0,2.5020,-825.5,632.1,-351.1,717.3,52.3,16.4652,0.9152
1587.905,1159.594,2126.258,,6534.6,2.5022,-808.4,692.2,-365.2,756.0,52.4,18.2766,0.9015
1588.057,1159.688,2086.348,,6496.5,2.5024,-791.3,752.3,-379.2,794.7,52.4,20.0880,0.8879
1588.210,1159.782,2046.441,,6499.9,2.5026,-774.2,812.5,-393.3,833.5,52.4,21.8994,0.8742
1588.362,1159.876,2006.538,,6514.3,2.5028,-757.1,872.6,-407.4,872.2,52.5,23.7108,0.8606
1588.514,1159.970,1966.639,,6531.8,2.5030,-740.0,932.8,-421.4,910.9,52.5,25.5221,0.8469
1588.667,1160.064,1926.752,,6521.8,2.5032,-722.9,992.9,-435.5,949.7,52.6,27.3341,0.8333
1588.819,1160.158,1886.872,,6515.9,2.5034,-705.8,1053.1,-449.6,988.5,52.6,29.1466,0.8196
1588.972,1160.252,1846.989,,6513.9,2.5037,-688.7,1113.3,-463.7,1027.2,52.7,30.9590,0.8060
1589.124,1160.345,1807.106,,6479.1,2.5039,-671.7,1173.5,-477.7,1066.0,52.7,32.7714,0.7923
1589.276,1160.439,1767.221,,6422.1,2.5041,-654.6,1233.7,-491.8,1104.7,52.7,34.5835,0.7786
1589.429,1160.533,1727.333,,6371.5,2.5043,-637.5,1293.8,-505.9,1143.5,52.8,36.3948,0.7650
1589.581,1160.627,1687.447,,6311.3,2.5045,-620.4,1354.0,-519.9,1182.2,52.8,38.2062,0.7513
1589.734,1160.721,1647.564,,6247.8,2.5047,-603.3,1414.1,-534.0,1220.9,52.9,40.0175,0.7377
1589.886,1160.815,1607.684,,6217.6,2.5049,-586.2,1474.3,-548.1,1259.7,52.9,41.8288,0.7241
1590.038,1160.909,1567.965,,6208.0,2.5051,-569.2,1534.2,-562.1,1298.2,53.0,43.6330,0.7105
1590.191,1161.001,1527.032,,6191.1,2.5053,-552.2,1592.9,-575.7,1336.1,53.0,45.4168,0.6969
1590.343,1161.094,1463.611,,6159.0,2.5074,-515.8,1611.8,-576.9,1348.6,53.0,47.2635,0.6684
1590.496,1161.186,1398.820,,6122.3,2.5095,-479.3,1630.8,-578.1,1361.2,53.0,49.1102,0.6399
1590.648,1161.279,1334.032,,6114.0,2.5117,-442.9,1649.8,-579.3,1373.8,53.0,50.9569,0.6114
1590.800,1161.371,1269.247,,6172.1,2.5138,-406.5,1668.8,-580.4,1386.4,53.0,52.8036,0.5829
1590.953,1161.463,1204.464,,6247.6,2.5160,-370.1,1687.8,-581.6,1399.0,53.0,54.6503,0.5544
1591.105,1161.556,1139.683,,6346.8,2.5181,-333.7,1706.7,-582.8,1411.6,53.0,56.4971,0.5259
1591.258,1161.648,1074.904,,6483.6,2.5202,-297.3,1725.7,-584.0,1424.2,53.0,58.3438,0.4974
